                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.56364,                  0.376,                 1.2912,                0.97068,                0.96367,                0.97787,                0.89506,                0.55086,                0.37456,                 1.2712,              0.0002674,              0.0002674,              0.0002674
                     77,                0.54768,                0.37393,                 1.2778,                0.96606,                0.96682,                0.97843,                0.89566,                 0.5254,                0.36924,                 1.2544,              0.0002575,              0.0002575,              0.0002575
                     78,                0.53997,                0.36265,                 1.2624,                0.96416,                0.96367,                0.97571,                0.89542,                0.53529,                0.36481,                 1.2519,              0.0002476,              0.0002476,              0.0002476
                     79,                0.51561,                0.36343,                 1.2325,                0.97437,                0.96094,                0.97136,                0.89617,                  0.533,                0.37532,                  1.245,              0.0002377,              0.0002377,              0.0002377
                     80,                0.51823,                0.35781,                 1.2396,                 0.9724,                0.96209,                0.97136,                0.90596,                0.50522,                0.35289,                 1.2303,              0.0002278,              0.0002278,              0.0002278
                     81,                 0.5058,                0.35417,                 1.2227,                0.97132,                0.96289,                 0.9729,                 0.9077,                0.51255,                0.35733,                 1.2314,              0.0002179,              0.0002179,              0.0002179
                     82,                0.50027,                0.34726,                 1.2141,                0.97037,                0.96524,                0.97596,                0.90837,                0.50746,                0.35423,                 1.2169,               0.000208,               0.000208,               0.000208
                     83,                0.49975,                0.34739,                 1.2028,                 0.9753,                0.95577,                 0.9792,                0.91616,                0.49254,                0.33887,                 1.2031,              0.0001981,              0.0001981,              0.0001981
                     84,                0.48558,                0.34818,                 1.1947,                0.97701,                0.95261,                0.97939,                0.90733,                0.48336,                0.32118,                 1.1909,              0.0001882,              0.0001882,              0.0001882
                     85,                0.48623,                0.34158,                 1.1931,                0.96677,                0.96512,                0.97102,                0.91419,                0.46655,                0.33953,                 1.1774,              0.0001783,              0.0001783,              0.0001783
                     86,                0.46376,                0.32925,                 1.1707,                0.97515,                0.95577,                0.97716,                0.91743,                0.47459,                0.32658,                 1.1845,              0.0001684,              0.0001684,              0.0001684
                     87,                0.46095,                0.32803,                 1.1675,                0.97744,                 0.9581,                 0.9749,                0.91867,                0.45599,                0.33084,                 1.1652,              0.0001585,              0.0001585,              0.0001585
                     88,                0.46169,                 0.3264,                 1.1706,                0.97443,                0.96335,                0.97339,                0.92043,                0.46879,                0.33823,                 1.1714,              0.0001486,              0.0001486,              0.0001486
                     89,                0.45527,                0.31386,                 1.1632,                0.96966,                0.95941,                0.97889,                0.92459,                 0.4567,                 0.3332,                 1.1617,              0.0001387,              0.0001387,              0.0001387
                     90,                 0.4531,                0.31198,                 1.1534,                0.97431,                0.95847,                0.97878,                0.92104,                0.44925,                0.32308,                 1.1549,              0.0001288,              0.0001288,              0.0001288
                     91,                0.45415,                 0.3165,                 1.1545,                0.97784,                0.96524,                0.97305,                0.92087,                0.44232,                0.31933,                 1.1476,              0.0001189,              0.0001189,              0.0001189
                     92,                  0.443,                0.31637,                 1.1455,                0.97295,                0.96581,                0.98158,                0.93574,                0.43409,                0.31061,                 1.1388,               0.000109,               0.000109,               0.000109
                     93,                0.43568,                0.31987,                 1.1342,                  0.974,                0.96209,                 0.9794,                0.93108,                0.41912,                0.31736,                 1.1214,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.43473,                0.31577,                 1.1278,                0.98057,                0.95686,                0.97506,                0.92774,                0.41875,                0.31131,                 1.1181,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.42261,                0.30615,                 1.1139,                0.97195,                0.96367,                 0.9808,                0.93257,                 0.4177,                0.30564,                 1.1164,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 0.4253,                0.30842,                 1.1183,                0.97294,                0.96682,                 0.9768,                0.93167,                0.42081,                0.31357,                 1.1161,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.42784,                0.30824,                 1.1234,                0.97025,                0.96524,                0.97763,                0.93132,                0.41315,                0.30233,                 1.1089,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.42262,                0.29986,                  1.116,                0.96629,                0.96367,                0.97817,                0.93532,                0.40419,                0.29927,                 1.1036,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.40795,                0.30691,                 1.0966,                 0.9731,                0.97134,                0.98274,                0.93812,                0.40369,                0.30374,                 1.0958,               3.97e-05,               3.97e-05,               3.97e-05
